x,y
1.203351688385009766e+01,-1.334038615226745605e+00
5.928133964538574219e+00,-5.029505729675292969e+00
1.029347324371337891e+01,-5.454878807067871094e+00
7.741959095001220703e+00,-1.304343700408935547e+00
6.115796566009521484e+00,-4.132401943206787109e+00
1.002298736572265625e+01,-4.672722816467285156e+00
7.767935276031494141e+00,-2.438015699386596680e+00
7.665999889373779297e+00,-2.113604068756103516e+00
1.194921016693115234e+01,-2.207410812377929688e+00
9.406855583190917969e+00,-4.201205253601074219e+00
1.026179599761962891e+01,-5.403809070587158203e+00
6.087350368499755859e+00,-3.778916597366333008e+00
9.720141410827636719e+00,-4.489394187927246094e+00
8.967747688293457031e+00,-4.398189544677734375e+00
7.468233585357666016e+00,-2.903749227523803711e+00
8.266013145446777344e+00,6.262376785278320312e+00
1.202819347381591797e+01,-1.199333429336547852e+00
1.153741741180419922e+01,-1.337237358093261719e+00
1.224469852447509766e+01,-1.366193056106567383e+00
9.441180229187011719e+00,-4.845342159271240234e+00
8.319795608520507812e+00,-4.152190685272216797e+00
7.961386203765869141e+00,-3.788989067077636719e+00
7.386326789855957031e+00,-2.763184547424316406e+00
9.645488739013671875e+00,-4.513715744018554688e+00
6.075403213500976562e+00,-4.814133167266845703e+00
5.905502796173095703e+00,-5.468942165374755859e+00
6.316859245300292969e+00,-4.348592281341552734e+00
5.581223011016845703e+00,-2.098044395446777344e+00
6.730103492736816406e+00,-2.633363485336303711e+00
6.479003906250000000e+00,-2.049542427062988281e+00
6.353424072265625000e+00,-1.764789938926696777e+00
1.177579307556152344e+01,-1.809494614601135254e+00
1.182682800292968750e+01,-1.290303826332092285e+00
1.093342399597167969e+01,-1.324422478675842285e+00
1.086396789550781250e+01,-1.244555950164794922e+00
1.088262081146240234e+01,-1.302362442016601562e+00
4.925029277801513672e+00,-1.789133071899414062e+00
9.421378135681152344e+00,-4.401030540466308594e+00
8.554066658020019531e+00,-4.005088329315185547e+00
9.359074592590332031e+00,-4.607148170471191406e+00
8.185744285583496094e+00,-7.455801963806152344e-01
1.090744876861572266e+01,-2.130536079406738281e+00
1.014106369018554688e+01,-5.273512840270996094e+00
7.910624504089355469e+00,-3.700061321258544922e+00
9.412223815917968750e+00,-3.971424341201782227e+00
1.145063400268554688e+01,-2.275102615356445312e+00
9.959467887878417969e+00,-4.138004302978515625e+00
8.474452972412109375e+00,-4.130314826965332031e+00
1.199690628051757812e+01,-1.258048295974731445e+00
9.131391525268554688e+00,-4.623462200164794922e+00
8.749062538146972656e+00,-4.364776611328125000e+00
8.008490562438964844e+00,-3.802757978439331055e+00
9.830025672912597656e+00,-2.941506147384643555e+00
8.006312370300292969e+00,-2.415062427520751953e+00
1.091274642944335938e+01,-2.225781679153442383e+00
1.156832695007324219e+01,-1.832716941833496094e+00
5.961461544036865234e+00,-4.252043247222900391e+00
